Year,Disaster Type,Decade
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Storm,1980
1987,Flood,1980
1987,Flood,1980
1987,Landslide,1980
1987,Storm,1980
1987,Storm,1980
1987,Earthquake,1980
1987,Earthquake,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Landslide,1980
1987,Storm,1980
1987,Storm,1980
1987,Storm,1980
1987,Wildfire,1980
1987,Epidemic,1980
1987,Flood,1980
1987,Storm,1980
1987,Insect infestation,1980
1987,Storm,1980
1987,Flood,1980
1987,Landslide,1980
1987,Landslide,1980
1987,Storm,1980
1987,Storm,1980
1987,Wildfire,1980
1987,Storm,1980
1987,Earthquake,1980
1987,Insect infestation,1980
1987,Landslide,1980
1987,Flood,1980
1987,Storm,1980
1987,Storm,1980
1987,Flood,1980
1987,Insect infestation,1980
1987,Drought,1980
1987,Storm,1980
1987,Storm,1980
1987,Flood,1980
1987,Storm,1980
1987,Storm,1980
1987,Epidemic,1980
1987,Insect infestation,1980
1987,Storm,1980
1987,Epidemic,1980
1987,Insect infestation,1980
1987,Extreme temperature,1980
1987,Wildfire,1980
1987,Storm,1980
1987,Volcanic activity,1980
1987,Wildfire,1980
1987,Drought,1980
1987,Flood,1980
1987,Storm,1980
1987,Extreme temperature,1980
1987,Wildfire,1980
1987,Flood,1980
1987,Flood,1980
1988,Flood,1980
1988,Earthquake,1980
1988,Earthquake,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Earthquake,1980
1988,Flood,1980
1988,Storm,1980
1988,Storm,1980
1988,Storm,1980
